Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01 00:00,20.41,21.13,19.63,20.36,100,20.36
2013-02-02 00:00,20.38,20.5,18.23,19.62,100,19.62
2013-02-03 00:00,19.48,20.9,19.42,20.55,100,20.55
2013-02-04 00:00,20.55,21.0,19.85,20.44,100,20.44
2013-02-05 00:00,20.45,20.75,20.2,20.75,100,20.75
2013-02-06 00:00,20.75,21.33,20.61,21.02,100,21.02
2013-02-07 00:00,21.11,22.22,20.77,22.1,100,22.1
2013-02-08 00:00,22.1,22.78,22.0,22.63,100,22.63
2013-02-09 00:00,22.63,23.99,22.58,23.83,100,23.83
2013-02-10 00:00,23.83,24.11,22.68,24.05,100,24.05
2013-02-11 00:00,24.0,24.67,23.65,24.5,100,24.5
2013-02-12 00:00,24.5,25.8,24.31,25.25,100,25.25
2013-02-13 00:00,25.24,26.3,23.04,23.1,100,23.1
2013-02-14 00:00,23.02,27.5,21.72,27.1,100,27.1
2013-02-15 00:00,27.18,27.5,26.11,27.24,100,27.24
2013-02-16 00:00,27.24,27.5,26.81,27.36,100,27.36
2013-02-17 00:00,27.3,27.38,25.0,26.75,100,26.75
2013-02-18 00:00,26.62,27.03,26.42,26.81,100,26.81
2013-02-19 00:00,27.0,29.65,26.86,29.4,100,29.4
2013-02-20 00:00,29.31,29.87,29.0,29.73,100,29.73
2013-02-21 00:00,29.73,29.98,29.32,29.7,100,29.7
2013-02-22 00:00,29.7,31.3,29.68,30.69,100,30.69
2013-02-23 00:00,30.23,30.53,28.0,29.6,100,29.6
2013-02-24 00:00,29.6,30.4,29.2,29.8,100,29.8
2013-02-25 00:00,29.75,30.4,29.55,30.3,100,30.3
2013-02-26 00:00,30.3,31.7,30.12,31.2,100,31.2
2013-02-27 00:00,31.2,32.44,30.8,32.44,100,32.44
2013-02-28 00:00,32.49,34.52,31.0,33.4,100,33.4
2013-03-01 00:00,33.4,34.9,32.92,34.6,100,34.6
2013-03-02 00:00,34.6,34.8,33.17,34.26,100,34.26
2013-03-03 00:00,34.1,34.5,33.8,34.31,100,34.31
2013-03-04 00:00,34.5,36.7,34.19,36.22,100,36.22
2013-03-05 00:00,36.22,40.9,36.15,40.67,100,40.67
2013-03-06 00:00,40.9,49.1,34.0,35.5,100,35.5
2013-03-07 00:00,35.49,45.46,35.0,42.19,100,42.19
2013-03-08 00:00,42.18,44.5,41.33,43.95,100,43.95
2013-03-09 00:00,43.53,46.99,43.41,46.97,100,46.97
2013-03-10 00:00,46.7,47.95,45.47,46.1,100,46.1
2013-03-11 00:00,46.1,48.47,44.2899,48.4,100,48.4
2013-03-12 00:00,48.4,48.4,36.8,44.25,100,44.25
2013-03-13 00:00,44.3,47.27,43.9,47.0,100,47.0
2013-03-14 00:00,47.0,47.99,46.2,47.17,100,47.17
2013-03-15 00:00,47.17,47.45,46.4,46.8,100,46.8
2013-03-16 00:00,46.8,47.35,46.27,47.3,100,47.3
2013-03-17 00:00,47.3,47.74,46.81,47.7,100,47.7
2013-03-18 00:00,47.7,52.87,47.12,50.8,100,50.8
2013-03-19 00:00,50.83,61.0,50.23,59.89,100,59.89
2013-03-20 00:00,59.45,65.99,57.7,63.94,100,63.94
