Date Time,Open,High,Low,Close,Volume,Adj Close
2016-03-03 00:00:00,420.56,422.55,417.0,417.15,476.76735653,
2016-03-03 00:30:00,417.14,419.12,415.82,418.74,568.67477055,
2016-03-03 01:00:00,418.69,419.49,417.01,419.46,200.80710245,
2016-03-03 01:30:00,419.47,419.47,418.52,419.32,176.76307255,
2016-03-03 02:00:00,419.32,419.85,419.21,419.73,90.37430589,
2016-03-03 02:30:00,420.2,422.34,419.9,422.1,230.92557256,
2016-03-03 03:00:00,422.09,422.09,416.5,418.89,868.03861029,
2016-03-03 03:30:00,418.81,418.86,415.0,417.01,463.17630862,
2016-03-03 04:00:00,416.99,417.15,408.91,408.92,630.74930025,
2016-03-03 04:30:00,408.68,417.0,408.63,414.32,527.83358644,
2016-03-03 05:00:00,414.18,415.98,413.44,415.87,216.04271159,
2016-03-03 05:30:00,415.87,415.87,413.23,413.87,209.25930341,
2016-03-03 06:00:00,414.14,415.98,412.0,414.77,146.01758446,
2016-03-03 06:30:00,414.18,415.0,413.97,414.94,108.00436294,
2016-03-03 07:00:00,415.0,415.4,410.1,412.98,209.52100118,
2016-03-03 07:30:00,413.14,416.34,411.15,416.1,295.82111914,
2016-03-03 08:00:00,416.3,419.91,414.81,419.8,274.30240988,
2016-03-03 08:30:00,419.82,420.5,419.82,420.49,156.66889947,
2016-03-03 09:00:00,420.5,421.77,420.5,421.65,95.85159384,
2016-03-03 09:30:00,421.76,422.02,420.61,420.82,102.11240071,
2016-03-03 10:00:00,420.78,420.96,419.05,419.78,113.196112,
2016-03-03 10:30:00,419.8,420.88,419.8,420.88,29.38981288,
2016-03-03 11:00:00,420.92,421.44,420.88,421.35,44.28369324,
2016-03-03 11:30:00,421.13,421.14,419.62,419.94,92.38113978,
2016-03-03 12:00:00,419.88,420.54,419.62,420.21,151.84924892,
2016-03-03 12:30:00,420.21,421.17,419.85,421.1,78.17863011,
2016-03-03 13:00:00,421.08,422.12,421.05,422.11,67.55106194,
2016-03-03 13:30:00,422.28,422.8,422.11,422.24,167.70133164,
2016-03-03 14:00:00,422.26,422.26,420.3,420.94,297.29820286,
2016-03-03 14:30:00,420.94,420.98,419.81,420.49,172.7542263,
2016-03-03 15:00:00,420.27,420.4,419.02,419.33,299.3676018,
2016-03-03 15:30:00,419.48,419.66,418.29,419.47,180.37082422,
2016-03-03 16:00:00,419.42,419.49,417.27,418.26,126.99710244,
2016-03-03 16:30:00,418.28,418.28,415.0,415.37,513.91279531,
2016-03-03 17:00:00,415.42,417.86,415.0,417.77,269.21379946,
2016-03-03 17:30:00,417.2,419.0,415.08,418.95,237.35304668,
2016-03-03 18:00:00,418.99,419.0,417.95,418.99,154.96952893,
2016-03-03 18:30:00,418.99,419.0,418.07,418.53,311.97288682,
2016-03-03 19:00:00,418.1,418.49,415.69,416.1,373.679879,
2016-03-03 19:30:00,416.1,416.68,411.17,413.94,530.05757888,
2016-03-03 20:00:00,414.26,414.83,410.76,414.31,420.31672013,
2016-03-03 20:30:00,414.32,417.0,414.11,416.06,224.69995573,
2016-03-03 21:00:00,416.14,418.8,416.1,418.47,132.43069552,
2016-03-03 21:30:00,418.63,419.4,418.24,418.75,212.07989756,
2016-03-03 22:00:00,419.09,419.34,418.61,419.0,145.27389894,
2016-03-03 22:30:00,419.35,419.69,419.01,419.37,102.9237059,
2016-03-03 23:00:00,419.58,419.58,418.5,418.99,207.87730398,
2016-03-03 23:30:00,419.01,419.02,417.78,418.8,127.92881721,
2016-03-04 00:00:00,418.75,419.1,418.33,419.01,165.86970873,
2016-03-04 00:30:00,419.11,419.18,418.33,418.69,231.30414838,
2016-03-04 01:00:00,418.57,419.39,418.03,419.35,108.13749209,
2016-03-04 01:30:00,419.4,421.49,419.4,421.48,97.11152098,
2016-03-04 02:00:00,421.48,421.75,421.27,421.59,351.3003113,
2016-03-04 02:30:00,421.38,421.85,420.47,421.4,159.24473564,
2016-03-04 03:00:00,420.7,421.38,420.15,420.28,140.86875027,
2016-03-04 03:30:00,420.03,421.49,420.03,421.33,298.82637095,
2016-03-04 04:00:00,421.24,421.83,420.65,420.81,109.702816,
2016-03-04 04:30:00,420.81,421.52,420.78,421.47,87.68748324,
2016-03-04 05:00:00,421.43,421.43,420.41,420.68,92.59315908,
2016-03-04 05:30:00,420.39,420.75,419.99,420.38,112.94871278,
2016-03-04 06:00:00,420.4,421.25,420.21,421.17,64.31964386,
2016-03-04 06:30:00,421.17,421.84,421.1,421.42,118.95736829,
2016-03-04 07:00:00,421.26,421.61,421.0,421.56,65.55369381,
2016-03-04 07:30:00,421.56,422.13,421.49,421.71,87.58278036,
2016-03-04 08:00:00,421.63,422.21,421.16,422.02,52.51315204,
2016-03-04 08:30:00,421.37,421.7,419.37,419.46,68.10001177,
2016-03-04 09:00:00,419.46,419.79,419.14,419.28,49.68957674,
2016-03-04 09:30:00,419.27,419.28,417.45,418.38,280.31195703,
2016-03-04 10:00:00,418.45,419.03,417.94,418.02,94.2993254,
2016-03-04 10:30:00,418.02,418.02,416.77,417.27,246.27350162,
2016-03-04 11:00:00,416.99,417.25,415.06,415.84,74.48597878,
2016-03-04 11:30:00,415.92,416.24,415.41,415.59,154.74557276,
2016-03-04 12:00:00,416.06,417.95,415.88,417.8,59.53059582,
2016-03-04 12:30:00,417.93,418.13,417.76,417.96,74.02212202,
2016-03-04 13:00:00,417.95,418.54,417.61,418.17,95.54640809,
2016-03-04 13:30:00,418.16,418.25,417.0,417.16,236.52831507,
2016-03-04 14:00:00,417.29,417.89,417.14,417.23,118.60449058,
2016-03-04 14:30:00,417.21,417.63,417.0,417.01,115.26465948,
2016-03-04 15:00:00,417.0,418.34,417.0,418.0,190.25662485,
2016-03-04 15:30:00,418.13,419.72,418.05,419.4,180.22650538,
2016-03-04 16:00:00,419.36,419.36,417.48,418.54,143.70871254,
2016-03-04 16:30:00,418.53,418.8,418.01,418.54,212.89382217,
2016-03-04 17:00:00,418.55,418.89,417.0,417.46,310.06128946,
2016-03-04 17:30:00,417.52,417.68,416.55,416.76,171.13155177,
2016-03-04 18:00:00,416.76,416.76,416.0,416.16,247.57375958,
2016-03-04 18:30:00,416.14,416.95,415.65,415.76,369.67182425,
2016-03-04 19:00:00,415.92,416.28,415.63,416.24,134.18547177,
2016-03-04 19:30:00,416.26,416.48,415.02,415.08,122.19615194,
2016-03-04 20:00:00,415.01,415.01,412.76,413.36,280.82828515,
2016-03-04 20:30:00,413.26,413.46,405.5,411.31,609.11319529,
2016-03-04 21:00:00,411.3,411.42,408.8,409.12,364.3784957,
2016-03-04 21:30:00,409.28,411.0,406.64,410.37,472.82485499,
2016-03-04 22:00:00,410.37,411.5,409.79,411.02,182.9243239,
2016-03-04 22:30:00,411.15,411.74,407.6,407.61,480.3154464,
2016-03-04 23:00:00,407.55,409.51,407.0,408.93,206.91957825,
2016-03-04 23:30:00,408.93,409.12,406.55,407.3,269.97531549,
2016-03-05 00:00:00,407.38,407.38,405.75,406.41,289.09502583,
2016-03-05 00:30:00,406.15,406.4,402.98,405.53,393.25928292,
2016-03-05 01:00:00,406.22,406.49,400.74,404.23,457.93531,
2016-03-05 01:30:00,403.48,404.12,400.17,401.79,364.94648819,
2016-03-05 02:00:00,400.88,403.49,397.0,400.82,875.96374922,
2016-03-05 02:30:00,401.16,401.47,396.45,400.08,393.67290926,
2016-03-05 03:00:00,400.1,402.0,398.0,400.8,334.1043788,
2016-03-05 03:30:00,400.75,404.69,399.01,404.38,237.22814158,
2016-03-05 04:00:00,404.71,408.83,404.37,408.01,275.0115222,
2016-03-05 04:30:00,408.02,408.35,406.81,407.09,161.73988106,
2016-03-05 05:00:00,407.32,407.75,407.0,407.18,76.29743698,
2016-03-05 05:30:00,407.19,407.75,406.99,407.71,127.41994155,
2016-03-05 06:00:00,407.75,407.75,404.88,405.37,265.12731759,
2016-03-05 06:30:00,405.37,405.37,401.34,402.07,198.66014444,
2016-03-05 07:00:00,402.24,402.24,397.01,397.73,255.6662225,
2016-03-05 07:30:00,397.73,399.49,396.45,396.79,179.53979527,
2016-03-05 08:00:00,396.59,396.71,395.0,395.24,214.00630975,
2016-03-05 08:30:00,395.31,395.32,390.02,392.41,325.57042457,
2016-03-05 09:00:00,392.18,396.87,386.12,396.29,391.78515816,
2016-03-05 09:30:00,396.3,397.49,396.28,397.0,80.40473649,
2016-03-05 10:00:00,396.99,397.12,393.0,396.91,92.68078858,
2016-03-05 10:30:00,397.12,398.98,389.0,398.98,231.2187448,
2016-03-05 11:00:00,398.89,400.77,397.69,399.94,125.91166881,
2016-03-05 11:30:00,400.46,400.46,388.0,391.4,227.291142,
2016-03-05 12:00:00,391.34,394.91,385.41,394.1,287.90910277,
2016-03-05 12:30:00,394.1,397.65,394.1,397.61,135.04157189,
2016-03-05 13:00:00,397.31,397.6,394.88,397.0,131.99484682,
2016-03-05 13:30:00,397.0,400.29,395.29,399.58,213.0908675,
2016-03-05 14:00:00,399.55,399.73,396.32,396.61,99.62051547,
2016-03-05 14:30:00,396.0,396.52,385.0,393.45,693.15869718,
2016-03-05 15:00:00,393.74,393.83,387.1,391.77,374.2871253,
2016-03-05 15:30:00,392.44,392.44,385.0,388.19,529.24605119,
2016-03-05 16:00:00,388.67,389.15,381.09,388.57,976.78796257,
2016-03-05 16:30:00,388.67,391.8,382.9,384.9,801.04804513,
2016-03-05 17:00:00,384.98,395.01,384.0,392.94,476.91016385,
2016-03-05 17:30:00,393.43,398.94,392.69,398.91,456.25082681,
2016-03-05 18:00:00,399.28,399.28,395.47,398.44,367.77850861,
2016-03-05 18:30:00,398.44,398.47,396.44,396.93,233.10267805,
2016-03-05 19:00:00,397.0,398.4,396.48,398.4,151.85928923,
2016-03-05 19:30:00,398.59,400.22,398.43,399.5,258.21615941,
2016-03-05 20:00:00,399.5,399.74,398.55,399.1,254.13544517,
2016-03-05 20:30:00,398.5,398.69,398.13,398.52,226.97123168,
2016-03-05 21:00:00,398.52,400.46,398.52,400.14,372.72766729,
2016-03-05 21:30:00,400.11,400.11,399.13,400.0,345.49703025,
2016-03-05 22:00:00,400.12,400.69,399.62,400.0,228.3465328,
2016-03-05 22:30:00,400.0,400.0,399.35,399.99,101.42218707,
2016-03-05 23:00:00,400.0,400.0,394.22,396.79,369.16030608,
2016-03-05 23:30:00,396.8,397.57,396.08,396.09,244.2384519,
2016-03-06 00:00:00,396.08,396.66,394.1,394.79,256.44046362,
2016-03-06 00:30:00,394.77,394.77,392.12,392.29,271.74505125,
2016-03-06 01:00:00,392.71,392.71,385.01,391.67,520.60236454,
2016-03-06 01:30:00,391.93,393.99,391.45,392.35,175.17914704,
2016-03-06 02:00:00,392.19,394.09,391.7,393.51,238.68856345,
2016-03-06 02:30:00,393.49,395.44,393.41,394.2,133.48394271,
